id,app_id,developer,publisher,engine,genres,themes,game_modes,igdb_id,collected_at
326,47810,BioWare,Electronic Arts,Eclipse Engine (BioWare),"['Role-playing (RPG)', 'Strategy', 'Adventure']","['Action', 'Fantasy', 'Open world']",['Single player'],27911,2026-05-24 12:40:47.411436
327,47870,Stellar Entertainment,Electronic Arts,Chameleon,['Racing'],['Action'],"['Single player', 'Multiplayer']",139346,2026-05-24 12:40:48.202914
328,47890,,Electronic Arts,,['Simulator'],[],['Single player'],327976,2026-05-24 12:40:49.105373
329,48000,Playdead,Playdead,,"['Platform', 'Puzzle', 'Adventure', 'Indie']","['Action', 'Horror']",['Single player'],1331,2026-05-24 12:40:49.911397
330,48220,Limbic Entertainment,Ubisoft Entertainment,,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)']","['Fantasy', 'Historical']","['Single player', 'Multiplayer']",373,2026-05-24 12:40:51.501781
331,48240,Blue Byte,Ubisoft Entertainment,,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']","['Science fiction', 'Sandbox']","['Single player', 'Multiplayer', 'Co-operative']",180263,2026-05-24 12:40:52.315314
332,48700,Taleworlds,Paradox Interactive,,"['Shooter', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure']","['Action', 'Fantasy', 'Historical', 'Sandbox', 'Open world', '4X (explore, expand, exploit, and exterminate)']","['Single player', 'Multiplayer']",2025,2026-05-24 12:40:53.227533
333,48720,SiCh Studio,Paradox Interactive,,"['Role-playing (RPG)', 'Strategy']","['Action', 'Historical', 'Sandbox']","['Single player', 'Multiplayer']",8792,2026-05-24 12:40:54.131364
334,48800,VSTEP,Paradox Interactive,,['Simulator'],[],"['Single player', 'Multiplayer']",10830,2026-05-24 12:40:55.039762
335,48950,Vanguard Entertainment Group,Valcon Games,,"['Puzzle', 'Strategy', 'Turn-based strategy (TBS)']",['Action'],"['Single player', 'Multiplayer']",16170,2026-05-24 12:40:55.859727
336,49600,Cold Beam Games,Cold Beam Games,,"['Shooter', 'Music', 'Indie', 'Arcade']","['Action', 'Science fiction']","['Single player', 'Multiplayer', 'Co-operative']",7404,2026-05-24 12:40:58.498577
337,50300,Yager Development,Take-Two Interactive,Unreal Engine 3,"['Shooter', 'Adventure']","['Action', 'Stealth', 'Warfare']","['Single player', 'Multiplayer']",1377,2026-05-24 12:41:00.271369
338,50620,Spooky Doorway,Akupara Games,,"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']","['Horror', 'Comedy', 'Mystery']",['Single player'],222968,2026-05-24 12:41:01.076326
339,55040,Blendo Games,Blendo Games,,"['Strategy', 'Tactical', 'Indie']","['Horror', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative']",8388,2026-05-24 12:41:01.870480
340,55100,Dambuster Studios,Deep Silver,CryEngine,"['Shooter', 'Adventure']","['Action', 'Open world', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",1886,2026-05-24 12:41:02.667932
341,55140,Tantalus Media,THQ,,[],[],[],248571,2026-05-24 12:41:04.376044
342,55150,Relic Entertainment,Sega,,['Shooter'],['Science fiction'],"['Single player', 'Multiplayer']",186034,2026-05-24 12:41:05.185663
343,55230,Volition,CyberFront,Havok,"['Shooter', 'Racing', 'Adventure']","['Action', 'Comedy', 'Sandbox', 'Open world']","['Single player', 'Multiplayer', 'Co-operative']",873,2026-05-24 12:41:06.002694
344,56400,Relic Entertainment,Feral Interactive,Essence Engine,"['Real Time Strategy (RTS)', 'Strategy']",['Science fiction'],"['Single player', 'Multiplayer', 'Co-operative']",470,2026-05-24 12:41:06.810291
345,57300,Frictional Games,Frictional Games,HPL Engine,"['Puzzle', 'Adventure', 'Indie']","['Action', 'Horror', 'Survival']",['Single player'],111,2026-05-24 12:41:07.654905
346,57650,Chunsoft,Nintendo,,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']","['Fantasy', 'Kids']",['Single player'],2319,2026-05-24 12:41:09.298231
347,57690,Haemimont Games,Feral Interactive,,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy']","['Comedy', 'Business', 'Sandbox']",['Single player'],2595,2026-05-24 12:41:10.096999
348,57740,bitComposer Games,THQ Nordic,,"['Role-playing (RPG)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']",['Action'],['Single player'],1008,2026-05-24 12:41:10.896237
350,58610,Eugen Systems,Focus Entertainment,IRISZOOM,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical', 'Indie']","['Action', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",8383,2026-05-24 12:41:12.583756
351,61500,Triumph Studios,Triumph Studios,,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical']","['Fantasy', '4X (explore, expand, exploit, and exterminate)']","['Single player', 'Multiplayer', 'Co-operative']",5652,2026-05-24 12:41:13.378311
352,61700,Capybara Games,Ubisoft Entertainment,,"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure']",['Fantasy'],"['Single player', 'Multiplayer', 'Co-operative']",1889,2026-05-24 12:41:14.208510
353,63200,Uber Entertainment,Microsoft Game Studios,Unreal Engine 3,"['Shooter', 'Sport', 'Strategy', 'Tactical', 'Indie']","['Action', 'Science fiction', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative']",9660,2026-05-24 12:41:14.999758
354,63380,Rebellion Developments,Rebellion Developments,Asura,"['Shooter', 'Tactical']","['Action', 'Historical', 'Stealth', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",3078,2026-05-24 12:41:15.794745
355,63710,Gaijin Games,QubicGames S.A.,,"['Music', 'Platform', 'Indie', 'Arcade']","['Action', 'Science fiction']",['Single player'],6246,2026-05-24 12:41:17.433101
356,63910,Katauri Interactive,1C Company,TheEngine,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Adventure']","['Fantasy', 'Historical']",['Single player'],5045,2026-05-24 12:41:18.299061
357,64000,Digitalmindsoft,1C Company,,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Tactical']","['Action', 'Historical', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",1144,2026-05-24 12:41:19.168534
358,65080,Ocean Media,Ocean Media,,"['Point-and-click', 'Puzzle', 'Adventure', 'Indie']","['Science fiction', 'Comedy']",['Single player'],10480,2026-05-24 12:41:20.067213
359,65300,Hitbox Team,Headup Games,,"['Platform', 'Indie']",['Action'],"['Single player', 'Multiplayer']",1340,2026-05-24 12:41:20.864124
360,65540,Alkimia Interactive,THQ Nordic,Unreal Engine 5,['Role-playing (RPG)'],"['Action', 'Fantasy', 'Open world']",['Single player'],148227,2026-05-24 12:41:21.665956
361,65600,Trine Studios,THQ Nordic,,"['Role-playing (RPG)', 'Adventure']","['Action', 'Fantasy', 'Open world']",['Single player'],10371,2026-05-24 12:41:22.465671
362,65780,Bohemia Interactive,Bohemia Interactive,,"['Shooter', 'Simulator', 'Strategy', 'Tactical']","['Action', 'Sandbox', 'Open world']","['Single player', 'Multiplayer']",27937,2026-05-24 12:41:23.255570
363,65790,Bohemia Interactive Studio,Bohemia Interactive Studio,Real Virtuality,"['Shooter', 'Simulator', 'Strategy', 'Tactical']","['Action', 'Warfare']",['Single player'],9775,2026-05-24 12:41:24.065670
364,65800,Trendy Entertainment,Trendy Entertainment,,"['Role-playing (RPG)', 'Strategy', 'Indie']",['Action'],"['Single player', 'Multiplayer', 'Co-operative']",3202,2026-05-24 12:41:24.967958
365,65930,2K Marin,2K Games,Unreal Engine 3,"['Shooter', 'Strategy', 'Tactical']","['Action', 'Fantasy', 'Science fiction', 'Historical']",['Single player'],244,2026-05-24 12:41:25.781160
366,67370,Blazefire Productions,Blazefire Productions,,['Adventure'],['Horror'],['Single player'],331057,2026-05-24 12:41:27.488109
367,70000,800 North and Digital Ranch,800 North and Digital Ranch,Source,"['Shooter', 'Indie']","['Action', 'Fantasy', 'Historical', 'Comedy']","['Multiplayer', 'Massively Multiplayer Online (MMO)']",8701,2026-05-24 12:41:28.280000
368,70300,Terry Cavanagh,Terry Cavanagh,C++,"['Platform', 'Puzzle', 'Adventure', 'Indie', 'Arcade']","['Action', 'Fantasy', 'Science fiction']","['Single player', 'Multiplayer']",1990,2026-05-24 12:41:29.089370
369,70400,EasyGameStation,EasyGameStation,,"['Role-playing (RPG)', 'Simulator', 'Indie']","['Action', 'Fantasy', 'Comedy', 'Business']",['Single player'],12524,2026-05-24 12:41:29.875010
370,70600,Team17,Team17,,"['Strategy', 'Turn-based strategy (TBS)']","['Action', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative']",9333,2026-05-24 12:41:30.696060
371,70660,Team17,Team17,,"['Simulator', 'Pinball', 'Arcade']","['Action', 'Kids']","['Single player', 'Multiplayer']",9335,2026-05-24 12:41:31.498360
372,71250,Sonic Team,Sega,,['Platform'],['Action'],['Single player'],192114,2026-05-24 12:41:32.320178
373,71340,Sonic Team,Sega,Hedgehog Engine,"['Platform', 'Adventure']","['Action', 'Comedy', 'Kids']",['Single player'],28000,2026-05-24 12:41:33.146149
374,72000,,,RPG Maker VX Ace,['Adventure'],[],['Single player'],201622,2026-05-24 12:41:33.961259
375,72200,Giant Army,Giant Army,,"['Simulator', 'Sport', 'Indie']","['Science fiction', 'Sandbox', 'Educational']",['Single player'],11812,2026-05-24 12:41:34.775958
376,72400,Pandemic Studios,LucasArts,Zero,['Shooter'],"['Action', 'Science fiction']","['Single player', 'Split screen']",3760,2026-05-24 12:41:35.597192
377,72850,Bethesda Game Studios,Bethesda Softworks,Creation Engine,"['Role-playing (RPG)', 'Adventure']","['Action', 'Fantasy', 'Stealth', 'Sandbox', 'Open world']",['Single player'],472,2026-05-24 12:41:36.506644
378,73010,Colossal Order Ltd.,Paradox Interactive,,['Simulator'],['Business'],['Single player'],151417,2026-05-24 12:41:37.319181
379,73020,,Paradox Interactive,,"['Simulator', 'Strategy']","['Fantasy', 'Comedy']","['Single player', 'Multiplayer']",30147,2026-05-24 12:41:38.119100
380,73170,Darkest Hour Team,Paradox Interactive,,"['Real Time Strategy (RTS)', 'Strategy']",['Historical'],"['Single player', 'Multiplayer']",2012,2026-05-24 12:41:38.919370
381,91200,11 bit studios,11 bit studios,Liquid Engine,"['Real Time Strategy (RTS)', 'Strategy', 'Indie']","['Action', 'Fantasy', 'Science fiction', 'Historical']",['Single player'],8758,2026-05-24 12:41:40.513380
382,91600,Jake Stevenson,Jake Stevenson,Unity,"['Shooter', 'Indie', 'Arcade']","['Action', 'Survival']",['Single player'],273904,2026-05-24 12:41:42.206729
383,91700,Streum On Studio,Streum On Studio,Source,"['Shooter', 'Role-playing (RPG)', 'Indie']","['Action', 'Science fiction', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",6230,2026-05-24 12:41:43.056136
384,92000,Dark Energy Digital,Dark Energy Digital,HydroEngine,"['Shooter', 'Strategy', 'Adventure', 'Indie']","['Action', 'Science fiction', 'Horror', 'Survival', 'Stealth']",['Single player'],7690,2026-05-24 12:41:43.852374
385,92800,Zachtronics,Zachtronics,,"['Puzzle', 'Simulator', 'Strategy', 'Indie']",['Science fiction'],['Single player'],8390,2026-05-24 12:41:44.655165
386,93200,,,,['Role-playing (RPG)'],[],"['Multiplayer', 'Massively Multiplayer Online (MMO)']",278356,2026-05-24 12:41:45.446698
387,94200,Final Form Games,Final Form Games,,"['Shooter', 'Adventure', 'Indie', 'Arcade']",['Action'],"['Single player', 'Multiplayer', 'Co-operative']",23221,2026-05-24 12:41:46.236340
388,94400,Messhof,Messhof,GameMaker: Studio,"['Fighting', 'Indie', 'Arcade']","['Action', 'Party']","['Single player', 'Multiplayer', 'Split screen']",24482,2026-05-24 12:41:47.865792
389,94590,Telltale Games,Telltale Games,Telltale Tool,"['Point-and-click', 'Puzzle', 'Adventure']","['Action', 'Comedy']",['Single player'],6778,2026-05-24 12:41:48.672806
390,95300,Alientrap Games Inc,Alientrap Games Inc,,"['Platform', 'Puzzle', 'Indie']","['Action', 'Science fiction']","['Single player', 'Multiplayer', 'Co-operative']",3050,2026-05-24 12:41:49.469986
391,95400,Sparpweed Games,Sparpweed Games,PhyreEngine,"['Platform', 'Puzzle', 'Adventure', 'Indie']",['Action'],"['Single player', 'Multiplayer', 'Co-operative']",9139,2026-05-24 12:41:50.274083
392,96000,Colibri Games,Ellada Games,,"['Point-and-click', 'Music', 'Puzzle', 'Adventure', 'Indie']","['Fantasy', 'Kids']",['Single player'],15120,2026-05-24 12:41:51.070613
393,96100,Fish Factory Games,Fish Factory Games,,"['Platform', 'Puzzle', 'Indie']","['Action', 'Science fiction']",['Single player'],16242,2026-05-24 12:41:51.985813
394,97330,Stainless Games Ltd.,Wizards of the Coast,,"['Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Card & Board Game']",['Fantasy'],"['Single player', 'Multiplayer', 'Co-operative']",1891,2026-05-24 12:41:53.689298
395,98200,,,,['Strategy'],['Action'],[],259532,2026-05-24 12:41:54.484772
396,98400,,,,[],['Action'],['Single player'],171405,2026-05-24 12:41:55.379438
397,98800,Gaslamp Games,Gaslamp Games,,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Indie']","['Action', 'Fantasy', 'Comedy']",['Single player'],6743,2026-05-24 12:41:56.176305
398,98900,Sigma Team Inc.,Sigma Team Inc.,Microsoft XNA,"['Strategy', 'Indie']","['Action', 'Science fiction']",['Single player'],16246,2026-05-24 12:41:56.980437
399,99300,Avalanche Studios,Sega,Avalanche engine,['Shooter'],"['Action', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",2139,2026-05-24 12:41:57.805985
400,99700,Nicklas Nygren,"Nicalis, Inc.",,"['Shooter', 'Platform', 'Puzzle', 'Strategy', 'Adventure', 'Indie']","['Action', 'Science fiction']",['Single player'],15128,2026-05-24 12:41:58.598689
401,99900,Grey Havens,Grey Havens,,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']","['Action', 'Science fiction', 'Open world']","['Single player', 'Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",9265,2026-05-24 12:41:59.411525
402,99910,Grey Havens,Grey Havens,,"['Puzzle', 'Role-playing (RPG)', 'Strategy', 'Adventure']","['Historical', 'Open world']","['Single player', 'Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",15129,2026-05-24 12:42:00.216875
403,102500,Big Huge Games,38 Studios,,"['Role-playing (RPG)', ""Hack and slash/Beat 'em up""]","['Action', 'Fantasy']",['Single player'],1059,2026-05-24 12:42:01.021282
404,102600,Robot Entertainment,Microsoft Studios,,"['Shooter', 'Strategy', 'Indie']",['Action'],['Single player'],2355,2026-05-24 12:42:01.855317
405,102840,Klei Entertainment,Electronic Arts,,"[""Hack and slash/Beat 'em up"", 'Adventure', 'Indie']",['Action'],"['Single player', 'Multiplayer', 'Co-operative']",9623,2026-05-24 12:42:02.762097
406,104200,Bugbearstew,Bugbearstew,Construct 2,['Indie'],['Comedy'],['Single player'],331671,2026-05-24 12:42:03.652909
407,104900,Dankie,Dankie,Unreal Engine 3,"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie']","['Action', 'Science fiction']","['Single player', 'Multiplayer', 'Co-operative']",25647,2026-05-24 12:42:05.296987
408,105000,Daedalic Entertainment,Daedalic Entertainment,,"['Point-and-click', 'Adventure']","['Fantasy', 'Science fiction', 'Historical', 'Non-fiction', 'Educational']",['Single player'],20832,2026-05-24 12:42:06.121812
409,105600,Re-Logic,505 Games,XNA Game Studio,"['Platform', 'Role-playing (RPG)', 'Simulator', 'Strategy', 'Adventure', 'Indie']","['Action', 'Fantasy', 'Science fiction', 'Horror', 'Survival', 'Sandbox', 'Open world']","['Single player', 'Multiplayer', 'Co-operative']",1879,2026-05-24 12:42:07.781613
410,107100,Supergiant Games,Supergiant Games,Microsoft XNA,"['Role-playing (RPG)', 'Adventure', 'Indie']","['Action', 'Fantasy']",['Single player'],1983,2026-05-24 12:42:08.605010
411,107200,Minmax Games,Minmax Games,,"['Role-playing (RPG)', 'Strategy', 'Adventure', 'Indie', 'Arcade']","['Action', 'Science fiction', 'Sandbox']",['Single player'],2989,2026-05-24 12:42:09.504352
412,107300,Zeboyd Games,Zeboyd Games,,"['Role-playing (RPG)', 'Indie']",['Comedy'],['Single player'],16259,2026-05-24 12:42:10.311218
413,107410,Bohemia Interactive Studio,Bohemia Interactive Studio,Real Virtuality 4,"['Shooter', 'Simulator', 'Strategy', 'Tactical']","['Action', 'Sandbox', 'Open world', 'Warfare']","['Single player', 'Multiplayer', 'Co-operative']",1881,2026-05-24 12:42:11.923465
414,107800,Recoil Games,Sony Online Entertainment,,"['Platform', 'Puzzle', 'Adventure', 'Indie']","['Action', 'Science fiction']",['Single player'],5969,2026-05-24 12:42:12.717416
415,108200,Days of Wonder,Days of Wonder,,"['Strategy', 'Turn-based strategy (TBS)', 'Adventure', 'Indie', 'Card & Board Game']",['Party'],"['Single player', 'Multiplayer']",10745,2026-05-24 12:42:13.577469
416,108210,,Days of Wonder,,"['Simulator', 'Strategy']",[],"['Single player', 'Multiplayer']",28724,2026-05-24 12:42:14.380175
417,108500,,,,"['Adventure', 'Indie']",[],['Single player'],347990,2026-05-24 12:42:15.175337
418,108600,The Indie Stone,The Indie Stone,Java,"['Role-playing (RPG)', 'Simulator', 'Indie']","['Horror', 'Survival', 'Sandbox', 'Open world']","['Single player', 'Multiplayer', 'Co-operative', 'Split screen']",3189,2026-05-24 12:42:15.971715
419,108710,Remedy Entertainment,Epic Games Publishing,Northlight Engine,"['Shooter', 'Adventure']","['Action', 'Horror', 'Thriller', 'Survival', 'Mystery']",['Single player'],185246,2026-05-24 12:42:16.892606
420,108800,,Electronic Arts,,['Shooter'],"['Action', 'Science fiction', 'Stealth']","['Single player', 'Multiplayer']",28722,2026-05-24 12:42:17.791371
421,109600,Cryptic Studios,Perfect World Entertainment,,"['Role-playing (RPG)', 'Adventure']","['Action', 'Fantasy']","['Single player', 'Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",1908,2026-05-24 12:42:18.615143
422,110800,Rockstar North,Rockstar Games,,"['Strategy', 'Adventure']","['Action', 'Thriller', 'Historical', 'Sandbox', 'Open world', 'Mystery']",['Single player'],109,2026-05-24 12:42:19.436672
423,111600,Mommy's Best Games,Devolver Digital,,"['Shooter', 'Platform', 'Indie']","['Action', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative']",20086,2026-05-24 12:42:20.227123
424,111900,Monolith Productions,WB Games,,"['Real Time Strategy (RTS)', 'Strategy', ""Hack and slash/Beat 'em up"", 'Arcade']","['Action', 'Fantasy']","['Single player', 'Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",7892,2026-05-24 12:42:21.121392
425,113020,Pocketwatch Games,Humble Games,,"['Puzzle', 'Strategy', 'Adventure', 'Indie']","['Action', 'Stealth', 'Party']","['Single player', 'Multiplayer', 'Co-operative']",8739,2026-05-24 12:42:21.919338
426,113200,Florian Himsl,Edmund McMillen,Adobe Flash Player,"['Shooter', 'Role-playing (RPG)', 'Adventure', 'Indie']","['Action', 'Horror', 'Comedy', 'Drama']",['Single player'],2132,2026-05-24 12:42:22.715540
427,113400,Reloaded Productions,K2 Network,Unreal Engine 3,"['Shooter', 'Adventure']","['Action', 'Open world']","['Multiplayer', 'Co-operative', 'Massively Multiplayer Online (MMO)']",1014,2026-05-24 12:42:23.550272
428,115110,Herringbone Games,Herringbone Games,,"['Puzzle', 'Indie', 'Arcade']",[],"['Single player', 'Multiplayer', 'Co-operative']",116077,2026-05-24 12:42:25.146789
429,115120,Double Fine Productions,Microsoft Game Studios,,"['Shooter', 'Strategy']","['Action', 'Fantasy', 'Historical', 'Comedy']","['Single player', 'Multiplayer', 'Co-operative']",7668,2026-05-24 12:42:25.965747
430,115320,Radical Entertainment,Activision,Titanium,"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure']","['Action', 'Science fiction', 'Horror', 'Survival', 'Sandbox', 'Open world']",['Single player'],2988,2026-05-24 12:42:26.807185
431,115800,D-Pad Studio,D-Pad Studio,Microsoft XNA,"['Platform', 'Puzzle', 'Adventure', 'Indie']","['Action', 'Fantasy', 'Science fiction']",['Single player'],12597,2026-05-24 12:42:27.598860
